County of Santa Barbara,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,
,,,,,,
#352 - Guadalupe City,,,,,,
"Lat 34-57-45, Long 120-34-17, Elev 85 ft",,,,,,
352,1922,1921,12,20,0.92,
352,1922,1921,12,21,0.42,
352,1922,1921,12,22,0.41,
352,1922,1921,12,23,0.18,
352,1922,1921,12,24,0.36,
352,1922,1921,12,25,0.14,
352,1922,1921,12,26,0.13,
352,1922,1921,12,29,0.03,
352,1922,1921,12,31,0.02,
352,1922,1922,1,1,0.76,
352,1922,1922,1,4,0.06,
352,1922,1922,1,6,0.37,
352,1922,1922,1,27,0.02,
352,1922,1922,1,28,1.03,
352,1922,1922,1,29,1.18,
352,1922,1922,1,30,0.40,
352,1922,1922,1,31,0.08,
352,1922,1922,2,7,0.13,
352,1922,1922,2,8,0.38,
352,1922,1922,2,9,0.08,
352,1922,1922,2,10,0.39,
352,1922,1922,2,19,1.33,
352,1922,1922,2,20,0.32,
352,1922,1922,2,21,0.03,
352,1922,1922,2,23,0.05,
352,1922,1922,2,24,0.05,
352,1922,1922,2,25,0.21,
352,1922,1922,3,10,0.87,
352,1922,1922,3,11,0.08,
352,1922,1922,3,16,1.15,
352,1922,1922,3,23,0.09,
352,1922,1922,3,28,0.14,
352,1922,1922,3,31,0.17,
352,1922,1922,4,11,0.12,
352,1922,1922,4,12,0.10,
352,1922,1922,5,7,0.03,
352,1922,1922,5,8,0.28,
352,1922,1922,5,20,0.04,
352,1923,1922,10,26,0.26,
352,1923,1922,10,27,0.07,
352,1923,1922,11,1,0.32,
352,1923,1922,11,7,0.28,
352,1923,1922,11,8,0.66,
352,1923,1922,11,9,0.18,
352,1923,1922,11,10,0.22,
352,1923,1922,12,1,0.28,
352,1923,1922,12,2,0.44,
352,1923,1922,12,5,0.10,
352,1923,1922,12,6,0.22,
352,1923,1922,12,7,0.33,
352,1923,1922,12,8,0.10,
352,1923,1922,12,11,0.04,
352,1923,1922,12,12,1.05,
352,1923,1922,12,13,0.24,
352,1923,1922,12,14,0.04,
352,1923,1922,12,16,0.18,
352,1923,1922,12,18,0.02,
352,1923,1922,12,28,0.37,
352,1923,1922,12,29,0.13,
352,1923,1922,12,30,0.04,
352,1923,1923,1,17,0.14,
352,1923,1923,1,22,0.33,
352,1923,1923,1,23,0.46,
352,1923,1923,1,24,0.38,
352,1923,1923,1,28,0.24,
352,1923,1923,1,29,0.22,
352,1923,1923,1,30,0.14,
352,1923,1923,2,1,0.05,
352,1923,1923,2,8,0.44,
352,1923,1923,2,10,0.13,
352,1923,1923,2,11,0.35,
352,1923,1923,2,12,0.06,
352,1923,1923,2,21,0.01,
352,1923,1923,2,22,0.02,
352,1923,1923,3,2,0.01,
352,1923,1923,3,3,0.08,
352,1923,1923,3,9,0.01,
352,1923,1923,3,31,0.08,
352,1923,1923,4,1,0.08,
352,1923,1923,4,2,0.35,
352,1923,1923,4,3,0.26,
352,1923,1923,4,4,0.02,
352,1923,1923,4,5,0.38,
352,1923,1923,4,6,1.80,
352,1923,1923,4,9,0.56,
352,1923,1923,4,10,0.06,
352,1923,1923,4,17,0.46,
352,1923,1923,5,19,0.04,
352,1923,1923,5,20,0.01,
352,1924,1923,9,21,0.12,
352,1924,1923,9,22,0.11,
352,1924,1923,10,7,0.10,
352,1924,1923,10,31,0.02,
352,1924,1923,11,7,0.03,
352,1924,1923,11,8,0.03,
352,1924,1923,12,13,0.20,
352,1924,1923,12,18,0.05,
352,1924,1923,12,30,0.01,
352,1924,1923,12,31,0.36,
352,1924,1924,1,26,0.06,
352,1924,1924,1,27,0.56,
352,1924,1924,1,28,0.01,
352,1924,1924,2,8,0.45,
352,1924,1924,2,9,0.05,
352,1924,1924,3,1,0.58,
352,1924,1924,3,2,0.51,
352,1924,1924,3,5,0.02,
352,1924,1924,3,8,0.02,
352,1924,1924,3,16,0.05,
352,1924,1924,3,17,0.13,
352,1924,1924,3,22,0.49,
352,1924,1924,3,23,0.12,
352,1924,1924,3,25,1.10,
352,1924,1924,3,27,0.12,
352,1924,1924,4,1,0.28,
352,1924,1924,4,3,0.05,
352,1924,1924,4,22,0.65,
352,1924,1924,4,23,0.02,
352,1924,1924,5,12,0.01,
352,1925,1924,9,6,0.03,
352,1925,1924,9,21,0.03,
352,1925,1924,10,4,0.28,
352,1925,1924,10,5,0.08,
352,1925,1924,10,15,0.08,
352,1925,1924,10,26,0.03,
352,1925,1924,10,28,0.29,
352,1925,1924,11,4,0.04,
352,1925,1924,11,8,0.26,
352,1925,1924,11,9,0.48,
352,1925,1924,12,5,0.66,
352,1925,1924,12,6,0.37,
352,1925,1924,12,15,0.24,
352,1925,1924,12,16,0.40,
352,1925,1924,12,21,0.09,
352,1925,1924,12,22,0.02,
352,1925,1924,12,30,0.07,
352,1925,1925,1,13,0.15,
352,1925,1925,1,14,0.02,
352,1925,1925,1,24,0.06,
352,1925,1925,1,25,2.32,
352,1925,1925,1,29,0.01,
352,1925,1925,2,2,0.01,
352,1925,1925,2,6,0.18,
352,1925,1925,2,7,0.48,
352,1925,1925,2,8,0.39,
352,1925,1925,2,10,0.24,
352,1925,1925,2,11,0.04,
352,1925,1925,3,6,0.77,
352,1925,1925,3,8,0.02,
352,1925,1925,3,9,0.08,
352,1925,1925,3,13,0.01,
352,1925,1925,3,20,0.05,
352,1925,1925,3,23,0.27,
352,1925,1925,3,26,0.06,
352,1925,1925,3,28,0.91,
352,1925,1925,3,29,0.24,
352,1925,1925,3,30,0.81,
352,1925,1925,3,31,0.39,
352,1925,1925,4,3,1.08,
352,1925,1925,4,4,0.56,
352,1925,1925,4,5,0.14,
352,1925,1925,4,10,0.01,
352,1925,1925,4,20,0.23,
352,1925,1925,4,21,0.03,
352,1925,1925,4,22,0.04,
352,1925,1925,5,10,0.03,
352,1925,1925,5,12,0.49,
352,1925,1925,5,13,0.04,
352,1925,1925,5,19,0.88,
352,1925,1925,5,20,0.21,
352,1925,1925,5,22,0.03,
352,1925,1925,5,31,0.03,
352,1925,1925,6,4,0.05,
352,1926,1925,9,22,0.01,
352,1926,1925,10,4,0.02,
352,1926,1925,10,12,0.14,
352,1926,1925,11,11,0.06,
352,1926,1925,11,16,0.01,
352,1926,1925,12,1,0.98,
352,1926,1925,12,17,0.71,
352,1926,1925,12,18,0.12,
352,1926,1926,1,17,0.09,
352,1926,1926,1,28,0.76,
352,1926,1926,1,29,0.02,
352,1926,1926,1,30,0.56,
352,1926,1926,1,31,0.29,
352,1926,1926,2,2,0.68,
352,1926,1926,2,3,0.19,
352,1926,1926,2,4,0.05,
352,1926,1926,2,5,0.02,
352,1926,1926,2,11,1.10,
352,1926,1926,2,12,0.73,
352,1926,1926,2,13,0.03,
352,1926,1926,2,14,0.08,
352,1926,1926,2,15,0.10,
352,1926,1926,2,19,0.01,
352,1926,1926,3,1,0.01,
352,1926,1926,3,2,0.22,
352,1931,1930,9,28,0.25,
352,1931,1930,9,29,0.11,
352,1931,1930,11,14,0.19,
352,1931,1930,11,15,0.24,
352,1931,1930,11,16,0.32,
352,1931,1930,11,26,0.28,
352,1931,1930,11,27,0.10,
352,1931,1931,1,1,1.27,
352,1931,1931,1,5,0.80,
352,1931,1931,1,7,1.23,
352,1931,1931,1,13,0.75,
352,1931,1931,1,30,0.21,
352,1931,1931,2,3,0.74,
352,1931,1931,2,4,0.09,
352,1931,1931,2,9,0.15,
352,1931,1931,2,10,0.19,
352,1931,1931,2,12,0.16,
352,1931,1931,3,11,0.14,
352,1931,1931,4,22,0.06,
352,1931,1931,4,25,0.30,
352,1931,1931,5,23,0.01,
352,1931,1931,5,24,0.54,
352,1931,1931,8,15,0.51,
352,1932,1931,10,1,0.03,
352,1932,1931,10,22,0.03,
352,1932,1931,11,11,0.85,
352,1932,1931,11,16,0.02,
352,1932,1931,11,26,1.24,
352,1932,1931,11,27,0.45,
352,1932,1931,12,7,0.10,
352,1932,1931,12,8,0.76,
352,1932,1931,12,10,0.10,
352,1932,1931,12,11,0.13,
352,1932,1931,12,13,0.62,
352,1932,1931,12,20,0.40,
352,1932,1931,12,21,0.01,
352,1932,1931,12,22,0.10,
352,1932,1931,12,23,0.07,
352,1932,1931,12,24,1.12,
352,1932,1931,12,25,0.27,
352,1932,1931,12,26,0.02,
352,1932,1931,12,27,1.09,
352,1932,1931,12,28,0.76,
352,1932,1931,12,30,0.07,
352,1932,1931,12,31,0.26,
352,1932,1932,1,11,0.05,
352,1932,1932,1,12,0.28,
352,1932,1932,1,13,0.24,
352,1932,1932,1,14,0.79,
352,1932,1932,1,15,0.46,
352,1932,1932,1,26,0.26,
352,1932,1932,1,30,0.10,
352,1932,1932,1,31,1.04,
352,1932,1932,2,7,0.32,
352,1932,1932,2,8,1.11,
352,1932,1932,2,9,0.05,
352,1932,1932,2,15,0.53,
352,1932,1932,2,16,0.17,
352,1932,1932,3,14,0.05,
352,1932,1932,4,25,0.03,
352,1932,1932,4,26,0.02,
352,1932,1932,4,27,0.05,
352,1932,1932,5,2,0.15,
352,1932,1932,5,3,0.15,
352,1932,1932,6,4,0.05,
352,1933,1932,9,30,0.05,
352,1933,1932,11,29,0.07,
352,1933,1932,12,8,0.05,
352,1933,1932,12,9,0.44,
352,1933,1932,12,10,0.09,
352,1933,1932,12,19,0.22,
352,1933,1932,12,20,0.11,
352,1933,1932,12,21,0.31,
352,1933,1933,1,15,0.34,
352,1933,1933,1,16,0.33,
352,1933,1933,1,17,0.02,
352,1933,1933,1,18,1.80,
352,1933,1933,1,19,0.79,
352,1933,1933,1,21,0.24,
352,1933,1933,1,22,0.64,
352,1933,1933,1,23,0.12,
352,1933,1933,1,24,0.28,
352,1933,1933,1,25,0.23,
352,1933,1933,1,27,0.29,
352,1933,1933,1,28,0.07,
352,1933,1933,1,29,0.30,
352,1933,1933,2,11,0.22,
352,1933,1933,2,12,0.23,
352,1933,1933,3,11,0.09,
352,1933,1933,3,13,0.03,
352,1933,1933,3,15,0.04,
352,1933,1933,3,16,0.18,
352,1933,1933,3,22,0.04,
352,1933,1933,3,27,0.20,
352,1933,1933,3,28,0.03,
352,1933,1933,4,17,0.04,
352,1933,1933,4,28,0.04,
352,1933,1933,4,29,0.02,
352,1933,1933,5,1,0.17,
352,1933,1933,5,21,0.10,
352,1933,1933,6,3,0.10,
352,1933,1933,6,4,1.38,
352,1933,1933,6,5,0.05,
352,1934,1933,10,30,0.41,
352,1934,1933,12,2,0.11,
352,1934,1933,12,3,0.17,
352,1934,1933,12,11,0.20,
352,1934,1933,12,12,0.87,
352,1934,1933,12,13,0.43,
352,1934,1933,12,14,0.14,
352,1934,1933,12,15,0.08,
352,1934,1933,12,29,0.28,
352,1934,1933,12,30,0.21,
352,1934,1933,12,31,0.71,
352,1934,1934,2,5,0.14,
352,1934,1934,2,6,0.04,
352,1934,1934,2,14,0.36,
352,1934,1934,2,15,0.23,
352,1934,1934,2,19,0.25,
352,1934,1934,2,22,0.15,
352,1934,1934,2,23,0.26,
352,1934,1934,2,25,0.32,
352,1934,1934,3,23,0.19,
352,1934,1934,4,21,0.03,
352,1934,1934,4,22,0.02,
352,1934,1934,5,26,0.04,
352,1934,1934,6,4,0.81,
352,1934,1934,6,5,0.13,
352,1935,1934,9,21,0.07,
352,1935,1934,10,16,0.30,
352,1935,1934,10,17,0.98,
352,1935,1934,10,18,0.03,
352,1935,1934,10,31,0.36,
352,1935,1934,11,14,0.40,
352,1935,1934,11,17,0.60,
352,1935,1934,11,18,0.73,
352,1935,1934,12,7,0.02,
352,1935,1934,12,8,0.09,
352,1935,1934,12,11,0.01,
352,1935,1934,12,12,0.07,
352,1935,1934,12,13,0.63,
352,1935,1934,12,27,0.37,
352,1935,1935,1,3,0.36,
352,1935,1935,1,4,1.06,
352,1935,1935,1,5,0.05,
352,1935,1935,1,8,0.42,
352,1935,1935,1,9,0.29,
352,1935,1935,1,10,0.13,
352,1935,1935,1,13,0.06,
352,1935,1935,1,14,1.20,
352,1935,1935,1,15,0.06,
352,1935,1935,1,16,0.10,
352,1935,1935,1,17,0.04,
352,1935,1935,1,18,0.62,
352,1935,1935,2,3,0.48,
352,1935,1935,2,4,0.22,
352,1935,1935,2,6,0.11,
352,1935,1935,2,7,0.10,
352,1935,1935,2,9,0.03,
352,1935,1935,2,13,0.11,
352,1935,1935,2,28,0.04,
352,1935,1935,3,1,0.50,
352,1935,1935,3,2,0.25,
352,1935,1935,3,3,0.16,
352,1935,1935,3,4,0.35,
352,1935,1935,3,6,0.68,
352,1935,1935,3,7,0.23,
352,1935,1935,3,8,0.12,
352,1935,1935,3,18,0.11,
352,1935,1935,3,20,0.09,
352,1935,1935,3,21,0.16,
352,1935,1935,3,22,0.05,
352,1935,1935,3,23,0.52,
352,1935,1935,4,2,0.18,
352,1935,1935,4,3,0.19,
352,1935,1935,4,6,0.09,
352,1935,1935,4,7,1.25,
352,1935,1935,4,8,0.09,
352,1935,1935,4,13,0.04,
352,1935,1935,4,14,0.28,
352,1935,1935,4,29,0.30,
352,1935,1935,4,30,0.70,
352,1936,1935,9,29,0.11,
352,1936,1935,9,30,0.06,
352,1936,1935,10,10,0.08,
352,1936,1935,10,14,0.21,
352,1936,1935,10,28,0.04,
352,1936,1935,11,1,0.20,
352,1936,1935,11,16,1.63,
352,1936,1935,12,2,0.56,
352,1936,1935,12,3,0.02,
352,1936,1935,12,11,0.02,
352,1936,1935,12,28,0.54,
352,1936,1935,12,29,0.04,
352,1936,1935,12,30,0.03,
352,1936,1936,1,1,0.03,
352,1936,1936,1,8,0.04,
352,1936,1936,1,9,0.31,
352,1936,1936,1,10,0.12,
352,1936,1936,1,11,0.20,
352,1936,1936,1,12,0.02,
352,1936,1936,1,15,0.05,
352,1936,1936,1,28,0.05,
352,1936,1936,1,31,0.28,
352,1936,1936,2,1,0.50,
352,1936,1936,2,10,0.11,
352,1936,1936,2,11,0.80,
352,1936,1936,2,12,0.20,
352,1936,1936,2,13,0.06,
352,1936,1936,2,14,0.66,
352,1936,1936,2,15,0.59,
352,1936,1936,2,17,0.43,
352,1936,1936,2,18,0.07,
352,1936,1936,2,19,0.07,
352,1936,1936,2,20,0.30,
352,1936,1936,2,22,1.45,
352,1936,1936,2,23,0.04,
352,1936,1936,2,24,1.11,
352,1936,1936,3,20,1.25,
352,1936,1936,3,24,0.29,
352,1936,1936,3,30,0.93,
352,1936,1936,4,2,0.25,
352,1936,1936,4,3,0.23,
352,1936,1936,4,21,0.07,
352,1936,1936,5,28,0.70,
352,1936,1936,6,2,0.20,
352,1936,1936,6,7,0.05,
352,1936,1936,7,9,0.13,
352,1937,1936,9,2,0.04,
352,1937,1936,9,3,0.06,
352,1937,1936,10,17,0.21,
352,1937,1936,10,18,0.38,
352,1937,1936,10,19,0.10,
352,1937,1936,12,3,0.02,
352,1937,1936,12,13,0.01,
352,1937,1936,12,14,0.44,
352,1937,1936,12,24,0.36,
352,1937,1936,12,26,0.22,
352,1937,1936,12,27,1.83,
352,1937,1936,12,28,0.42,
352,1937,1936,12,29,0.23,
352,1937,1936,12,30,0.03,
352,1937,1936,12,31,1.20,
352,1937,1937,1,4,0.02,
352,1937,1937,1,5,0.30,
352,1937,1937,1,6,0.05,
352,1937,1937,1,11,0.79,
352,1937,1937,1,12,0.57,
352,1937,1937,1,13,0.02,
352,1937,1937,1,15,0.11,
352,1937,1937,1,24,0.03,
352,1937,1937,1,27,0.05,
352,1937,1937,1,28,0.25,
352,1937,1937,1,29,0.31,
352,1937,1937,1,30,0.45,
352,1937,1937,1,31,0.02,
352,1937,1937,2,2,0.03,
352,1937,1937,2,4,0.42,
352,1937,1937,2,5,1.02,
352,1937,1937,2,6,0.18,
352,1937,1937,2,11,0.24,
352,1937,1937,2,12,0.02,
352,1937,1937,2,13,0.80,
352,1937,1937,2,14,0.02,
352,1937,1937,2,24,0.21,
352,1937,1937,2,25,0.16,
352,1937,1937,3,11,0.62,
352,1937,1937,3,12,0.45,
352,1937,1937,3,13,0.32,
352,1937,1937,3,17,0.35,
352,1937,1937,3,21,1.11,
352,1937,1937,3,22,0.26,
352,1937,1937,3,23,0.12,
352,1937,1937,3,24,0.63,
352,1937,1937,3,27,0.04,
352,1937,1937,4,1,0.04,
352,1937,1937,4,5,0.08,
352,1937,1937,4,26,0.15,
352,1938,1937,10,13,0.12,
352,1938,1937,11,10,0.24,
352,1938,1937,11,16,0.03,
352,1938,1937,12,9,0.69,
352,1938,1937,12,10,0.23,
352,1938,1937,12,11,0.99,
352,1938,1937,12,12,0.18,
352,1938,1937,12,22,0.05,
352,1938,1937,12,25,0.10,
352,1938,1938,1,1,0.07,
352,1938,1938,1,14,0.96,
352,1938,1938,1,15,0.02,
352,1938,1938,1,16,0.04,
352,1938,1938,1,17,0.11,
352,1938,1938,1,18,0.68,
352,1938,1938,1,19,0.07,
352,1938,1938,1,28,0.41,
352,1938,1938,1,29,0.10,
352,1938,1938,1,31,1.78,
352,1938,1938,2,1,0.09,
352,1938,1938,2,2,0.72,
352,1938,1938,2,3,0.24,
352,1938,1938,2,4,0.12,
352,1938,1938,2,8,0.28,
352,1938,1938,2,9,0.17,
352,1938,1938,2,10,2.93,
352,1938,1938,2,11,0.37,
352,1938,1938,2,13,0.20,
352,1938,1938,2,14,0.11,
352,1938,1938,2,18,0.11,
352,1938,1938,2,27,0.12,
352,1938,1938,2,28,0.81,
352,1938,1938,3,1,0.21,
352,1938,1938,3,2,1.30,
352,1938,1938,3,3,0.22,
352,1938,1938,3,7,0.21,
352,1938,1938,3,8,0.21,
352,1938,1938,3,10,0.44,
352,1938,1938,3,12,0.50,
352,1938,1938,3,13,0.05,
352,1938,1938,3,20,0.04,
352,1938,1938,3,23,0.08,
352,1938,1938,4,12,0.09,
352,1938,1938,4,24,0.92,
352,1938,1938,4,28,0.05,
352,1938,1938,4,29,0.22,
352,1938,1938,5,15,0.03,
352,1939,1938,9,26,0.58,
352,1939,1938,10,12,0.05,
352,1939,1938,10,13,0.11,
352,1939,1938,10,14,0.09,
352,1939,1938,10,30,0.07,
352,1939,1938,10,31,0.03,
352,1939,1938,11,1,0.01,
352,1939,1938,11,9,0.02,
352,1939,1938,11,10,0.02,
352,1939,1938,11,28,0.09,
352,1939,1938,11,29,0.18,
352,1939,1938,12,14,0.10,
352,1939,1938,12,15,0.64,
352,1939,1938,12,17,0.01,
352,1939,1938,12,18,0.07,
352,1939,1938,12,19,0.36,
352,1939,1938,12,20,0.20,
352,1939,1939,1,2,0.05,
352,1939,1939,1,4,0.24,
352,1939,1939,1,5,0.71,
352,1939,1939,1,20,0.97,
352,1939,1939,1,21,0.15,
352,1939,1939,1,27,0.08,
352,1939,1939,1,30,0.63,
352,1939,1939,1,31,0.25,
352,1939,1939,2,2,0.32,
352,1939,1939,2,3,0.71,
352,1939,1939,2,6,0.03,
352,1939,1939,2,7,0.29,
352,1939,1939,2,8,0.14,
352,1939,1939,2,9,0.12,
352,1939,1939,3,6,0.01,
352,1939,1939,3,8,0.31,
352,1939,1939,3,9,0.92,
352,1939,1939,3,19,0.06,
352,1939,1939,3,21,0.03,
352,1939,1939,3,25,0.30,
352,1939,1939,3,26,0.40,
352,1939,1939,3,31,0.04,
352,1939,1939,4,1,0.15,
352,1939,1939,4,12,0.08,
352,1939,1939,4,22,0.05,
352,1939,1939,4,23,0.04,
352,1939,1939,5,9,0.02,
352,1939,1939,5,10,0.03,
352,1940,1939,9,24,0.97,
352,1940,1939,9,25,0.19,
352,1940,1939,9,30,0.11,
352,1940,1939,10,6,0.75,
352,1940,1939,11,25,0.90,
352,1940,1939,12,9,0.01,
352,1940,1939,12,10,0.29,
352,1940,1939,12,22,0.01,
352,1940,1939,12,23,0.88,
352,1940,1940,1,1,0.17,
352,1940,1940,1,2,0.12,
352,1940,1940,1,3,0.23,
352,1940,1940,1,5,0.19,
352,1940,1940,1,6,0.09,
352,1940,1940,1,7,0.17,
352,1940,1940,1,8,0.17,
352,1940,1940,1,9,0.25,
352,1940,1940,1,10,0.97,
352,1940,1940,1,11,0.30,
352,1940,1940,1,12,0.02,
352,1940,1940,1,22,0.08,
352,1940,1940,1,23,0.23,
352,1940,1940,1,24,0.05,
352,1940,1940,1,26,0.15,
352,1940,1940,1,30,0.14,
352,1940,1940,1,31,0.06,
352,1940,1940,2,1,0.23,
352,1940,1940,2,2,0.01,
352,1940,1940,2,3,0.25,
352,1940,1940,2,6,0.09,
352,1940,1940,2,13,0.28,
352,1940,1940,2,14,0.05,
352,1940,1940,2,17,0.03,
352,1940,1940,2,21,0.03,
352,1940,1940,2,22,0.13,
352,1940,1940,2,23,0.06,
352,1940,1940,2,24,0.49,
352,1940,1940,2,28,0.35,
352,1940,1940,3,26,0.19,
352,1940,1940,3,27,0.11,
352,1940,1940,3,30,0.49,
352,1940,1940,3,31,0.60,
352,1940,1940,4,25,0.23,
352,1940,1940,4,26,0.12,
352,1941,1940,10,7,0.04,
352,1941,1940,10,8,0.03,
352,1941,1940,10,24,0.30,
352,1941,1940,10,25,0.02,
352,1941,1940,11,17,0.16,
352,1941,1940,12,15,0.48,
352,1941,1940,12,16,0.41,
352,1941,1940,12,17,0.13,
352,1941,1940,12,18,0.15,
352,1941,1940,12,21,0.90,
352,1941,1940,12,22,1.06,
352,1941,1940,12,23,0.19,
352,1941,1940,12,24,0.16,
352,1941,1940,12,26,0.25,
352,1941,1940,12,28,0.20,
352,1941,1940,12,29,0.01,
352,1941,1940,12,30,0.04,
352,1941,1941,1,3,0.05,
352,1941,1941,1,4,0.55,
352,1941,1941,1,5,0.05,
352,1941,1941,1,6,0.56,
352,1941,1941,1,7,0.13,
352,1941,1941,1,8,0.88,
352,1941,1941,1,9,0.09,
352,1941,1941,1,13,0.30,
352,1941,1941,1,15,0.06,
352,1941,1941,1,19,0.84,
352,1941,1941,1,21,0.63,
352,1941,1941,1,22,0.03,
352,1941,1941,1,23,0.23,
352,1941,1941,1,25,0.55,
352,1941,1941,2,5,1.61,
352,1941,1941,2,7,0.46,
352,1941,1941,2,8,0.25,
352,1941,1941,2,9,0.80,
352,1941,1941,2,10,0.09,
352,1941,1941,2,11,0.23,
352,1941,1941,2,12,0.33,
352,1941,1941,2,15,0.05,
352,1941,1941,2,16,0.25,
352,1941,1941,2,17,0.12,
352,1941,1941,2,19,0.08,
352,1941,1941,2,20,0.07,
352,1941,1941,2,21,0.19,
352,1941,1941,2,23,0.50,
352,1941,1941,2,24,0.04,
352,1941,1941,2,25,0.03,
352,1941,1941,2,28,0.94,
352,1941,1941,3,1,0.30,
352,1941,1941,3,3,1.57,
352,1941,1941,3,4,0.33,
352,1941,1941,3,11,0.23,
352,1941,1941,3,12,0.97,
352,1941,1941,3,13,0.03,
352,1941,1941,3,28,1.21,
352,1941,1941,3,30,0.73,
352,1941,1941,3,31,0.47,
352,1941,1941,4,1,0.19,
352,1941,1941,4,2,0.01,
352,1941,1941,4,4,0.81,
352,1941,1941,4,9,0.31,
352,1941,1941,4,10,0.84,
352,1941,1941,4,24,0.05,
352,1941,1941,4,29,0.47,
352,1942,1941,10,19,0.04,
352,1942,1941,10,20,0.01,
352,1942,1941,10,21,0.40,
352,1942,1941,10,22,0.03,
352,1942,1941,10,26,0.58,
352,1942,1941,11,16,0.01,
352,1942,1941,11,28,0.02,
352,1942,1941,11,29,0.17,
352,1942,1941,12,1,0.32,
352,1942,1941,12,3,0.34,
352,1942,1941,12,8,0.10,
352,1942,1941,12,9,0.23,
352,1942,1941,12,10,0.22,
352,1942,1941,12,12,0.12,
352,1942,1941,12,13,0.07,
352,1942,1941,12,14,0.41,
352,1942,1941,12,16,0.10,
352,1942,1941,12,19,0.09,
352,1942,1941,12,25,0.34,
352,1942,1941,12,26,0.02,
352,1942,1941,12,27,2.80,
352,1942,1941,12,28,0.44,
352,1942,1941,12,29,0.25,
352,1942,1941,12,30,0.36,
352,1942,1941,12,31,0.54,
352,1942,1942,1,21,0.27,
352,1942,1942,1,22,0.03,
352,1942,1942,1,24,0.44,
352,1942,1942,1,26,0.29,
352,1942,1942,1,30,0.17,
352,1942,1942,2,1,0.10,
352,1942,1942,2,2,0.07,
352,1942,1942,2,4,0.03,
352,1942,1942,2,15,0.01,
352,1942,1942,2,21,0.48,
352,1942,1942,3,10,0.25,
352,1942,1942,3,11,0.05,
352,1942,1942,3,12,0.01,
352,1942,1942,3,13,0.06,
352,1942,1942,3,14,0.85,
352,1942,1942,4,3,0.24,
352,1942,1942,4,4,0.05,
352,1942,1942,4,5,0.34,
352,1942,1942,4,9,0.44,
352,1942,1942,4,10,0.10,
352,1942,1942,4,13,0.30,
352,1942,1942,4,16,0.35,
352,1942,1942,4,20,0.03,
352,1942,1942,4,21,0.34,
352,1942,1942,4,27,0.04,
352,1942,1942,4,29,0.05,
352,1942,1942,5,10,0.01,
352,1942,1942,5,11,0.02,
352,1942,1942,5,15,0.05,
352,1943,1942,10,9,0.06,
352,1943,1942,10,10,0.01,
352,1943,1942,10,11,0.04,
352,1943,1942,10,27,0.11,
352,1943,1942,10,28,0.50,
352,1943,1942,11,14,0.12,
352,1943,1942,11,17,0.08,
352,1943,1942,11,18,0.13,
352,1943,1942,11,19,0.09,
352,1943,1942,12,6,0.06,
352,1943,1942,12,23,0.92,
352,1943,1942,12,24,0.44,
352,1943,1943,1,20,0.66,
352,1943,1943,1,21,1.42,
352,1943,1943,1,22,0.60,
352,1943,1943,1,23,0.56,
352,1943,1943,1,24,0.01,
352,1943,1943,1,25,0.46,
352,1943,1943,1,26,0.34,
352,1943,1943,1,29,0.19,
352,1943,1943,1,30,0.19,
352,1943,1943,2,7,0.08,
